Metodo,Zona,Sitio,Transecto,Buzo,Replica,Tiempo Campo (min),Tiempo Laboratorio (min),Tiempo Total (min),Día,Coral,Esponja,Alga,Sustrato,arco %C,arco% S,arco% A,arco % SI,,Notas de los datos
Fotocuadrante ,Planicie,1,Planicie_1,A,1,22,31,53,7,52.321,0,26.429,21.25,0.809,0,0.54,0.479,,C=CORAL
Fotocuadrante ,Planicie,1,Planicie_1,A,2,21,22,43,7,42.5,0,41.429,16.071,0.71,0,0.699,0.412,,S= ESPONJA
Fotocuadrante ,Planicie,1,Planicie_1,C,1,30,35,65,7,52.5,0,2.143,45.357,0.81,0,0.147,0.739,,A=ALGA
Fotocuadrante ,Planicie,1,Planicie_1,C,2,18,28,46,10,38.036,0,8.929,53.036,0.665,0,0.303,0.816,,SI=SUSTRATO INERTE
Fotocuadrante ,Planicie,1,Planicie_1,B,1,14,23,37,10,47.679,0,46.071,6.25,0.762,0,0.746,0.253,,
Fotocuadrante ,Planicie,1,Planicie_1,B,2,22,28,50,10,52.321,0,43.036,4.643,0.809,0,0.716,0.217,,p=datos transformados(arcoseno)
Fotocuadrante ,Planicie,2,Planicie_2,A,1,26,18,44,7,73.393,0,9.107,17.5,1.029,0,0.307,0.432,,
Fotocuadrante ,Planicie,2,Planicie_2,A,2,19,28,47,7,75,0,10.714,14.286,1.047,0,0.333,0.388,,
Fotocuadrante ,Planicie,2,Planicie_2,C,1,26,27,53,7,69.464,0,0.536,30,0.985,0,0.073,0.58,,
Fotocuadrante ,Planicie,2,Planicie_2,C,2,19,28,47,10,74.107,0,0.893,25,1.037,0,0.095,0.524,,
Fotocuadrante ,Planicie,2,Planicie_2,B,1,15,23,38,10,66.429,0,29.286,4.286,0.953,0,0.572,0.209,,
Fotocuadrante ,Planicie,2,Planicie_2,B,2,19,35,54,10,71.786,0,15.714,12.5,1.011,0,0.408,0.361,,
Fotocuadrante ,Planicie,3,Planicie_3,A,1,20,27,47,7,75.893,0,9.643,14.464,1.058,0,0.316,0.39,,
Fotocuadrante ,Planicie,3,Planicie_3,A,2,18,23,41,7,66.607,0,16.607,16.786,0.955,0,0.42,0.422,,
Fotocuadrante ,Planicie,3,Planicie_3,C,1,28,34,62,7,80,0,1.429,18.571,1.107,0,0.12,0.446,,
Fotocuadrante ,Planicie,3,Planicie_3,C,2,19,25,44,10,76.071,0,2.5,21.429,1.06,0,0.159,0.481,,
Fotocuadrante ,Planicie,3,Planicie_3,B,1,13,26,39,10,76.607,0,20.179,3.214,1.066,0,0.466,0.18,,
Fotocuadrante ,Planicie,3,Planicie_3,B,2,22,33,55,10,64.643,0,14.107,21.25,0.934,0,0.385,0.479,,
Fotocuadrante ,Talud,1,Talud_1,A,1,24,32,56,8,81.786,0,9.107,9.107,1.13,0,0.307,0.307,,
Fotocuadrante ,Talud,1,Talud_1,A,2,24,40,64,8,83.75,0,10.536,5.714,1.156,0,0.331,0.241,,
Fotocuadrante ,Talud,1,Talud_1,C,1,30,42,72,8,88.214,0,3.571,8.214,1.22,0,0.19,0.291,,
Fotocuadrante ,Talud,1,Talud_1,C,2,22,27,49,10,84.821,0,2.143,13.036,1.171,0,0.147,0.369,,
Fotocuadrante ,Talud,1,Talud_1,B,1,12,27,39,10,83.036,0,8.036,8.929,1.146,0,0.287,0.303,,
Fotocuadrante ,Talud,1,Talud_1,B,2,30,37,67,10,81.25,0,9.107,9.643,1.123,0,0.307,0.316,,
Fotocuadrante ,Talud,2,Talud_2,A,1,23,40,63,6,78.75,0,17.321,3.929,1.092,0,0.429,0.2,,
Fotocuadrante ,Talud,2,Talud_2,A,2,21,34,55,8,79.167,0,16.071,4.762,1.097,0,0.412,0.22,,
Fotocuadrante ,Talud,2,Talud_2,C,1,24,42,66,8,78.393,0,3.214,18.393,1.087,0,0.18,0.443,,
Fotocuadrante ,Talud,2,Talud_2,C,2,17,25,42,10,76.964,0,2.143,20.893,1.07,0,0.147,0.475,,
Fotocuadrante ,Talud,2,Talud_2,B,1,17,29,46,10,73.929,0,14.643,11.429,1.035,0,0.393,0.345,,
Fotocuadrante ,Talud,2,Talud_2,B,2,20,33,53,10,68.75,0,11.429,19.821,0.978,0,0.345,0.461,,
Fotocuadrante ,Talud,3,Talud_3,A,1,24,33,57,8,60.317,0,28.77,10.913,0.889,0,0.566,0.337,,
Fotocuadrante ,Talud,3,Talud_3,A,2,21,29,50,8,54.821,0,26.071,19.107,0.834,0,0.536,0.452,,
Fotocuadrante ,Talud,3,Talud_3,C,1,49,37,86,6,66.786,0,5.714,27.5,0.957,0,0.241,0.552,,
Fotocuadrante ,Talud,3,Talud_3,C,2,16,37,53,10,62.857,0,3.214,33.929,0.915,0,0.18,0.622,,
Fotocuadrante ,Talud,3,Talud_3,B,1,12,27,39,10,50.714,0,20.893,28.393,0.793,0,0.475,0.562,,
Fotocuadrante ,Talud,3,Talud_3,B,2,25,34,59,10,45.893,0,29.107,25,0.744,0,0.57,0.524,,
Cuadrante,Planicie,1,Planicie_1,A,1,29,11,40,6,15.645,0,84.355,0,0.407,0,1.164,0,,
Cuadrante,Planicie,1,Planicie_1,A,2,44,14,58,6,18.4,0,81.6,0,0.443,0,1.127,0,,
Cuadrante,Planicie,1,Planicie_1,C,1,42,8,50,5,21.825,0,10.178,67.997,0.486,0,0.325,0.969,,
Cuadrante,Planicie,1,Planicie_1,C,2,16,7,23,9,21.4,0,32.2,46.4,0.481,0,0.603,0.749,,
Cuadrante,Planicie,1,Planicie_1,B,1,11,9,20,9,12.92,0,87.08,0,0.368,0,1.203,0,,
Cuadrante,Planicie,1,Planicie_1,B,2,14,6,20,9,18.45,0,81.55,0,0.444,0,1.127,0,,
Cuadrante,Planicie,2,Planicie_2,A,1,16,10,26,5,45.175,0,54.825,0,0.737,0,0.834,0,,
Cuadrante,Planicie,2,Planicie_2,A,2,35,9,44,6,41.48,0,58.52,0,0.7,0,0.871,0,,
Cuadrante,Planicie,2,Planicie_2,C,1,12,6,18,6,51.35,0,0,48.65,0.799,0,0,0.772,,
Cuadrante,Planicie,2,Planicie_2,C,2,12,12,24,9,44.6,0,0,55.4,0.731,0,0,0.84,,
Cuadrante,Planicie,2,Planicie_2,B,1,11,4,15,9,40.4,0,59.6,0,0.689,0,0.882,0,,
